-------------
W160al
            87.0dB            80W       1x70mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 39.0Hz  80Hz  122Hz   92.1dB   23l +   9l  * 1x40mm    645mm
 42.5Hz  85Hz  125Hz   93.6dB   19l +   9l  * 1x40mm    575mm
 46.3Hz  90Hz  129Hz   95.1dB   16l +   9l  * 1x40mm    513mm
 50.4Hz  95Hz  133Hz   96.6dB   13l +   9l  - 1x50mm    714mm
 54.7Hz 101Hz  137Hz   98.0dB   11l +   9l  - 1x50mm    636mm
 59.4Hz 107Hz  142Hz   99.4dB   10l +   9l  - 1x50mm    567mm
 64.4Hz  97Hz  147Hz  100.8dB   13l +   9l  - 1x50mm    688mm
 69.7Hz 100Hz  152Hz  102.2dB   11l +   9l  - 1x50mm    644mm
 75.4Hz 109Hz  158Hz  103.6dB    9l +   9l  - 1x50mm    546mm
 70.0Hz 116Hz  164Hz  102.3dB    8l +   9l  - 1x50mm    487mm
 76.5Hz 122Hz  170Hz  103.8dB    7l +   9l  - 1x50mm    434mm
 94.8Hz 130Hz  177Hz  107.6dB    6l +   9l    1x70mm    758mm
 29.8Hz  72Hz  175Hz   87.5dB   36l +   6l  * 1x40mm   1147mm
 32.8Hz  77Hz  178Hz   89.1dB   28l +   6l  * 1x40mm   1023mm
 36.2Hz  81Hz  182Hz   90.8dB   23l +   6l  * 1x40mm    912mm
 39.8Hz  86Hz  185Hz   92.5dB   18l +   6l  * 1x40mm    812mm
 43.7Hz  91Hz  189Hz   94.1dB   15l +   6l  * 1x40mm    724mm
 48.0Hz  96Hz  194Hz   95.7dB   13l +   6l  * 1x40mm    645mm
 52.6Hz 102Hz  198Hz   97.3dB   11l +   6l  * 1x40mm    575mm
 57.6Hz 108Hz  203Hz   98.9dB    9l +   6l  * 1x40mm    513mm
 62.9Hz 115Hz  209Hz  100.4dB    8l +   6l  - 1x50mm    714mm
 68.7Hz 121Hz  214Hz  102.0dB    7l +   6l  - 1x50mm    636mm
 74.9Hz 129Hz  221Hz  103.5dB    6l +   6l  - 1x50mm    567mm
 81.6Hz 136Hz  227Hz  105.0dB    5l +   6l  - 1x50mm    505mm
