-------------
AWM104
            88.0dB           200W      1x100mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 37.4Hz  66Hz  117Hz   94.2dB   20l +   7l  * 1x40mm   1187mm
 40.8Hz  70Hz  120Hz   95.7dB   16l +   7l  * 1x40mm   1058mm
 44.4Hz  74Hz  124Hz   97.2dB   13l +   7l  * 1x40mm    943mm
 48.3Hz  78Hz  127Hz   98.6dB   11l +   7l  * 1x40mm    840mm
 52.5Hz  83Hz  132Hz  100.1dB    9l +   7l  * 1x40mm    749mm
 56.9Hz  88Hz  136Hz  101.5dB    8l +   7l  * 1x40mm    668mm
 61.7Hz  93Hz  141Hz  102.9dB    7l +   7l  * 1x40mm    595mm
 66.8Hz  96Hz  146Hz  104.3dB    6l +   7l  * 1x40mm    557mm
 72.3Hz 105Hz  151Hz  105.6dB    5l +   7l  - 1x50mm    738mm
 78.1Hz 111Hz  157Hz  107.0dB    4l +   7l  - 1x50mm    658mm
 84.3Hz 117Hz  163Hz  108.3dB    4l +   7l  - 1x50mm    587mm
 90.9Hz 124Hz  170Hz  109.6dB    3l +   7l  - 1x50mm    523mm
 23.8Hz  58Hz  103Hz   86.3dB   37l +   5l  * 1x40mm   2111mm
 26.1Hz  61Hz  105Hz   87.9dB   28l +   5l  * 1x40mm   1881mm
 28.6Hz  65Hz  108Hz   89.5dB   22l +   5l  * 1x40mm   1677mm
 31.3Hz  69Hz  110Hz   91.1dB   17l +   5l  * 1x40mm   1495mm
 34.2Hz  73Hz  113Hz   92.6dB   14l +   5l  * 1x40mm   1332mm
 37.4Hz  77Hz  117Hz   94.2dB   12l +   5l  * 1x40mm   1187mm
 40.8Hz  82Hz  120Hz   95.7dB   10l +   5l  * 1x40mm   1058mm
 44.4Hz  86Hz  124Hz   97.2dB    8l +   5l  * 1x40mm    943mm
 48.3Hz  92Hz  127Hz   98.6dB    7l +   5l  * 1x40mm    840mm
 52.5Hz  97Hz  132Hz  100.1dB    6l +   5l  * 1x40mm    749mm
 56.9Hz 103Hz  136Hz  101.5dB    5l +   5l  * 1x40mm    668mm
 61.7Hz  93Hz  141Hz  102.9dB    7l +   5l  * 1x40mm    810mm
 66.8Hz  96Hz  146Hz  104.3dB    6l +   5l  * 1x40mm    758mm
 72.3Hz 105Hz  151Hz  105.6dB    5l +   5l  * 1x40mm    643mm
 67.1Hz 111Hz  157Hz  104.3dB    4l +   5l  * 1x40mm    573mm
 73.3Hz 117Hz  163Hz  105.9dB    4l +   5l  - 1x50mm    798mm
 90.9Hz 124Hz  170Hz  109.6dB    3l +   5l  - 1x50mm    711mm
 28.6Hz  69Hz  168Hz   89.5dB   17l +   4l  * 1x40mm   2111mm
 31.5Hz  73Hz  171Hz   91.2dB   14l +   4l  * 1x40mm   1882mm
 34.7Hz  78Hz  174Hz   92.9dB   11l +   4l  * 1x40mm   1677mm
 38.2Hz  82Hz  178Hz   94.5dB   10l +   4l  * 1x40mm   1494mm
 41.9Hz  87Hz  182Hz   96.2dB    8l +   4l  * 1x40mm   1332mm
 46.0Hz  92Hz  186Hz   97.8dB    7l +   4l  * 1x40mm   1187mm
 50.4Hz  98Hz  190Hz   99.4dB    6l +   4l  * 1x40mm   1058mm
 55.2Hz 104Hz  195Hz  100.9dB    5l +   4l  * 1x40mm    943mm
 60.3Hz 110Hz  200Hz  102.5dB    5l +   4l  * 1x40mm    840mm
